,date,variable,value
0,2019-03-24,best advent calendars 2019,0
1,2019-03-31,best advent calendars 2019,0
2,2019-04-07,best advent calendars 2019,0
3,2019-04-14,best advent calendars 2019,0
4,2019-04-21,best advent calendars 2019,0
5,2019-04-28,best advent calendars 2019,0
6,2019-05-05,best advent calendars 2019,0
7,2019-05-12,best advent calendars 2019,0
8,2019-05-19,best advent calendars 2019,0
9,2019-05-26,best advent calendars 2019,0
10,2019-06-02,best advent calendars 2019,0
11,2019-06-09,best advent calendars 2019,0
12,2019-06-16,best advent calendars 2019,0
13,2019-06-23,best advent calendars 2019,0
14,2019-06-30,best advent calendars 2019,0
15,2019-07-07,best advent calendars 2019,0
16,2019-07-14,best advent calendars 2019,0
17,2019-07-21,best advent calendars 2019,0
18,2019-07-28,best advent calendars 2019,0
19,2019-08-04,best advent calendars 2019,0
20,2019-08-11,best advent calendars 2019,5
21,2019-08-18,best advent calendars 2019,0
22,2019-08-25,best advent calendars 2019,0
23,2019-09-01,best advent calendars 2019,7
24,2019-09-08,best advent calendars 2019,7
25,2019-09-15,best advent calendars 2019,21
26,2019-09-22,best advent calendars 2019,18
27,2019-09-29,best advent calendars 2019,34
28,2019-10-06,best advent calendars 2019,45
29,2019-10-13,best advent calendars 2019,42
30,2019-10-20,best advent calendars 2019,40
31,2019-10-27,best advent calendars 2019,67
32,2019-11-03,best advent calendars 2019,80
33,2019-11-10,best advent calendars 2019,100
34,2019-11-17,best advent calendars 2019,86
35,2019-11-24,best advent calendars 2019,61
36,2019-12-01,best advent calendars 2019,24
37,2019-12-08,best advent calendars 2019,5
38,2019-12-15,best advent calendars 2019,0
39,2019-12-22,best advent calendars 2019,6
40,2019-12-29,best advent calendars 2019,0
41,2020-01-05,best advent calendars 2019,0
42,2020-01-12,best advent calendars 2019,0
43,2020-01-19,best advent calendars 2019,0
44,2020-01-26,best advent calendars 2019,0
45,2020-02-02,best advent calendars 2019,0
46,2020-02-09,best advent calendars 2019,5
47,2020-02-16,best advent calendars 2019,0
48,2020-02-23,best advent calendars 2019,0
49,2020-03-01,best advent calendars 2019,0
50,2019-03-24,best christmas pudding 2019,0
51,2019-03-31,best christmas pudding 2019,0
52,2019-04-07,best christmas pudding 2019,0
53,2019-04-14,best christmas pudding 2019,0
54,2019-04-21,best christmas pudding 2019,0
55,2019-04-28,best christmas pudding 2019,0
56,2019-05-05,best christmas pudding 2019,0
57,2019-05-12,best christmas pudding 2019,0
58,2019-05-19,best christmas pudding 2019,0
59,2019-05-26,best christmas pudding 2019,0
60,2019-06-02,best christmas pudding 2019,0
61,2019-06-09,best christmas pudding 2019,0
62,2019-06-16,best christmas pudding 2019,0
63,2019-06-23,best christmas pudding 2019,0
64,2019-06-30,best christmas pudding 2019,0
65,2019-07-07,best christmas pudding 2019,0
66,2019-07-14,best christmas pudding 2019,0
67,2019-07-21,best christmas pudding 2019,0
68,2019-07-28,best christmas pudding 2019,0
69,2019-08-04,best christmas pudding 2019,0
70,2019-08-11,best christmas pudding 2019,0
71,2019-08-18,best christmas pudding 2019,0
72,2019-08-25,best christmas pudding 2019,0
73,2019-09-01,best christmas pudding 2019,0
74,2019-09-08,best christmas pudding 2019,7
75,2019-09-15,best christmas pudding 2019,0
76,2019-09-22,best christmas pudding 2019,0
77,2019-09-29,best christmas pudding 2019,6
78,2019-10-06,best christmas pudding 2019,0
79,2019-10-13,best christmas pudding 2019,9
80,2019-10-20,best christmas pudding 2019,11
81,2019-10-27,best christmas pudding 2019,9
82,2019-11-03,best christmas pudding 2019,23
83,2019-11-10,best christmas pudding 2019,44
84,2019-11-17,best christmas pudding 2019,33
85,2019-11-24,best christmas pudding 2019,40
86,2019-12-01,best christmas pudding 2019,90
87,2019-12-08,best christmas pudding 2019,88
88,2019-12-15,best christmas pudding 2019,100
89,2019-12-22,best christmas pudding 2019,46
90,2019-12-29,best christmas pudding 2019,10
91,2020-01-05,best christmas pudding 2019,0
92,2020-01-12,best christmas pudding 2019,0
93,2020-01-19,best christmas pudding 2019,0
94,2020-01-26,best christmas pudding 2019,0
95,2020-02-02,best christmas pudding 2019,0
96,2020-02-09,best christmas pudding 2019,0
97,2020-02-16,best christmas pudding 2019,0
