,date,variable,value
0,2019-03-31,best advent calendars 2019,0
1,2019-04-07,best advent calendars 2019,0
2,2019-04-14,best advent calendars 2019,0
3,2019-04-21,best advent calendars 2019,0
4,2019-04-28,best advent calendars 2019,0
5,2019-05-05,best advent calendars 2019,0
6,2019-05-12,best advent calendars 2019,0
7,2019-05-19,best advent calendars 2019,0
8,2019-05-26,best advent calendars 2019,0
9,2019-06-02,best advent calendars 2019,0
10,2019-06-09,best advent calendars 2019,0
11,2019-06-16,best advent calendars 2019,0
12,2019-06-23,best advent calendars 2019,0
13,2019-06-30,best advent calendars 2019,0
14,2019-07-07,best advent calendars 2019,0
15,2019-07-14,best advent calendars 2019,0
16,2019-07-21,best advent calendars 2019,0
17,2019-07-28,best advent calendars 2019,0
18,2019-08-04,best advent calendars 2019,0
19,2019-08-11,best advent calendars 2019,0
20,2019-08-18,best advent calendars 2019,0
21,2019-08-25,best advent calendars 2019,7
22,2019-09-01,best advent calendars 2019,14
23,2019-09-08,best advent calendars 2019,15
24,2019-09-15,best advent calendars 2019,21
25,2019-09-22,best advent calendars 2019,33
26,2019-09-29,best advent calendars 2019,41
27,2019-10-06,best advent calendars 2019,33
28,2019-10-13,best advent calendars 2019,33
29,2019-10-20,best advent calendars 2019,48
30,2019-10-27,best advent calendars 2019,62
31,2019-11-03,best advent calendars 2019,70
32,2019-11-10,best advent calendars 2019,100
33,2019-11-17,best advent calendars 2019,61
34,2019-11-24,best advent calendars 2019,40
35,2019-12-01,best advent calendars 2019,16
36,2019-12-08,best advent calendars 2019,7
37,2019-12-15,best advent calendars 2019,0
38,2019-12-22,best advent calendars 2019,5
39,2019-12-29,best advent calendars 2019,0
40,2020-01-05,best advent calendars 2019,0
41,2020-01-12,best advent calendars 2019,0
42,2020-01-19,best advent calendars 2019,0
43,2020-01-26,best advent calendars 2019,0
44,2020-02-02,best advent calendars 2019,0
45,2020-02-09,best advent calendars 2019,0
46,2020-02-16,best advent calendars 2019,0
47,2020-02-23,best advent calendars 2019,0
48,2020-03-01,best advent calendars 2019,4
49,2020-03-08,best advent calendars 2019,0
50,2019-03-31,best home cook georgia,0
51,2019-04-07,best home cook georgia,0
52,2019-04-14,best home cook georgia,0
53,2019-04-21,best home cook georgia,0
54,2019-04-28,best home cook georgia,0
55,2019-05-05,best home cook georgia,0
56,2019-05-12,best home cook georgia,0
57,2019-05-19,best home cook georgia,0
58,2019-05-26,best home cook georgia,0
59,2019-06-02,best home cook georgia,0
60,2019-06-09,best home cook georgia,0
61,2019-06-16,best home cook georgia,0
62,2019-06-23,best home cook georgia,0
63,2019-06-30,best home cook georgia,0
64,2019-07-07,best home cook georgia,0
65,2019-07-14,best home cook georgia,0
66,2019-07-21,best home cook georgia,0
67,2019-07-28,best home cook georgia,0
68,2019-08-04,best home cook georgia,0
69,2019-08-11,best home cook georgia,0
70,2019-08-18,best home cook georgia,0
71,2019-08-25,best home cook georgia,0
72,2019-09-01,best home cook georgia,0
73,2019-09-08,best home cook georgia,0
74,2019-09-15,best home cook georgia,0
75,2019-09-22,best home cook georgia,0
76,2019-09-29,best home cook georgia,0
77,2019-10-06,best home cook georgia,0
78,2019-10-13,best home cook georgia,0
79,2019-10-20,best home cook georgia,0
80,2019-10-27,best home cook georgia,0
81,2019-11-03,best home cook georgia,0
82,2019-11-10,best home cook georgia,0
83,2019-11-17,best home cook georgia,0
84,2019-11-24,best home cook georgia,0
85,2019-12-01,best home cook georgia,0
86,2019-12-08,best home cook georgia,0
87,2019-12-15,best home cook georgia,0
88,2019-12-22,best home cook georgia,0
89,2019-12-29,best home cook georgia,53
90,2020-01-05,best home cook georgia,70
91,2020-01-12,best home cook georgia,36
92,2020-01-19,best home cook georgia,29
93,2020-01-26,best home cook georgia,18
94,2020-02-02,best home cook georgia,34
95,2020-02-09,best home cook georgia,36
96,2020-02-16,best home cook georgia,100
97,2020-02-23,best home cook georgia,13
98,2020-03-01,best home cook georgia,8
99,2020-03-08,best home cook georgia,0
100,2019-03-31,best burger near me,0
101,2019-04-07,best burger near me,0
102,2019-04-14,best burger near me,0
103,2019-04-21,best burger near me,0
104,2019-04-28,best burger near me,0
105,2019-05-05,best burger near me,1
106,2019-05-12,best burger near me,0
107,2019-05-19,best burger near me,1
108,2019-05-26,best burger near me,0
109,2019-06-02,best burger near me,0
110,2019-06-09,best burger near me,0
111,2019-06-16,best burger near me,0
112,2019-06-23,best burger near me,0
113,2019-06-30,best burger near me,2
114,2019-07-07,best burger near me,9
115,2019-07-14,best burger near me,10
116,2019-07-21,best burger near me,11
117,2019-07-28,best burger near me,100
118,2019-08-04,best burger near me,34
119,2019-08-11,best burger near me,3
120,2019-08-18,best burger near me,4
121,2019-08-25,best burger near me,8
122,2019-09-01,best burger near me,68
123,2019-09-08,best burger near me,81
124,2019-09-15,best burger near me,40
125,2019-09-22,best burger near me,17
126,2019-09-29,best burger near me,3
127,2019-10-06,best burger near me,1
128,2019-10-13,best burger near me,0
129,2019-10-20,best burger near me,0
130,2019-10-27,best burger near me,0
131,2019-11-03,best burger near me,0
132,2019-11-10,best burger near me,1
133,2019-11-17,best burger near me,0
134,2019-11-24,best burger near me,0
135,2019-12-01,best burger near me,0
136,2019-12-08,best burger near me,1
137,2019-12-15,best burger near me,1
138,2019-12-22,best burger near me,0
139,2019-12-29,best burger near me,1
140,2020-01-05,best burger near me,0
141,2020-01-12,best burger near me,0
142,2020-01-19,best burger near me,0
143,2020-01-26,best burger near me,0
144,2020-02-02,best burger near me,1
145,2020-02-09,best burger near me,1
146,2020-02-16,best burger near me,0
147,2020-02-23,best burger near me,1
148,2020-03-01,best burger near me,0
149,2020-03-08,best burger near me,0
150,2019-03-31,best mince pies 2019,0
151,2019-04-07,best mince pies 2019,0
152,2019-04-14,best mince pies 2019,0
153,2019-04-21,best mince pies 2019,0
154,2019-04-28,best mince pies 2019,0
155,2019-05-05,best mince pies 2019,0
156,2019-05-12,best mince pies 2019,0
157,2019-05-19,best mince pies 2019,0
158,2019-05-26,best mince pies 2019,0
159,2019-06-02,best mince pies 2019,0
