,date,variable,value
0,2019-03-31,hard rock cafe piccadilly circus,0
1,2019-04-07,hard rock cafe piccadilly circus,0
2,2019-04-14,hard rock cafe piccadilly circus,0
3,2019-04-21,hard rock cafe piccadilly circus,50
4,2019-04-28,hard rock cafe piccadilly circus,0
5,2019-05-05,hard rock cafe piccadilly circus,49
6,2019-05-12,hard rock cafe piccadilly circus,50
7,2019-05-19,hard rock cafe piccadilly circus,0
8,2019-05-26,hard rock cafe piccadilly circus,0
9,2019-06-02,hard rock cafe piccadilly circus,47
10,2019-06-09,hard rock cafe piccadilly circus,0
11,2019-06-16,hard rock cafe piccadilly circus,49
12,2019-06-23,hard rock cafe piccadilly circus,0
13,2019-06-30,hard rock cafe piccadilly circus,0
14,2019-07-07,hard rock cafe piccadilly circus,49
15,2019-07-14,hard rock cafe piccadilly circus,0
16,2019-07-21,hard rock cafe piccadilly circus,50
17,2019-07-28,hard rock cafe piccadilly circus,50
18,2019-08-04,hard rock cafe piccadilly circus,97
19,2019-08-11,hard rock cafe piccadilly circus,97
20,2019-08-18,hard rock cafe piccadilly circus,100
21,2019-08-25,hard rock cafe piccadilly circus,0
22,2019-09-01,hard rock cafe piccadilly circus,48
23,2019-09-08,hard rock cafe piccadilly circus,47
24,2019-09-15,hard rock cafe piccadilly circus,47
25,2019-09-22,hard rock cafe piccadilly circus,0
26,2019-09-29,hard rock cafe piccadilly circus,46
27,2019-10-06,hard rock cafe piccadilly circus,45
28,2019-10-13,hard rock cafe piccadilly circus,45
29,2019-10-20,hard rock cafe piccadilly circus,0
30,2019-10-27,hard rock cafe piccadilly circus,0
31,2019-11-03,hard rock cafe piccadilly circus,0
32,2019-11-10,hard rock cafe piccadilly circus,0
33,2019-11-17,hard rock cafe piccadilly circus,0
34,2019-11-24,hard rock cafe piccadilly circus,64
35,2019-12-01,hard rock cafe piccadilly circus,65
36,2019-12-08,hard rock cafe piccadilly circus,0
37,2019-12-15,hard rock cafe piccadilly circus,47
38,2019-12-22,hard rock cafe piccadilly circus,51
39,2019-12-29,hard rock cafe piccadilly circus,0
40,2020-01-05,hard rock cafe piccadilly circus,42
41,2020-01-12,hard rock cafe piccadilly circus,0
42,2020-01-19,hard rock cafe piccadilly circus,65
43,2020-01-26,hard rock cafe piccadilly circus,64
44,2020-02-02,hard rock cafe piccadilly circus,43
45,2020-02-09,hard rock cafe piccadilly circus,0
46,2020-02-16,hard rock cafe piccadilly circus,42
47,2020-02-23,hard rock cafe piccadilly circus,0
48,2020-03-01,hard rock cafe piccadilly circus,0
49,2020-03-08,hard rock cafe piccadilly circus,0
50,2019-03-31,artbox cafe,0
51,2019-04-07,artbox cafe,0
52,2019-04-14,artbox cafe,0
53,2019-04-21,artbox cafe,0
54,2019-04-28,artbox cafe,0
55,2019-05-05,artbox cafe,0
56,2019-05-12,artbox cafe,0
57,2019-05-19,artbox cafe,0
58,2019-05-26,artbox cafe,0
59,2019-06-02,artbox cafe,0
60,2019-06-09,artbox cafe,0
61,2019-06-16,artbox cafe,0
62,2019-06-23,artbox cafe,0
63,2019-06-30,artbox cafe,0
64,2019-07-07,artbox cafe,0
65,2019-07-14,artbox cafe,0
66,2019-07-21,artbox cafe,0
67,2019-07-28,artbox cafe,0
68,2019-08-04,artbox cafe,0
69,2019-08-11,artbox cafe,92
70,2019-08-18,artbox cafe,41
71,2019-08-25,artbox cafe,61
72,2019-09-01,artbox cafe,77
73,2019-09-08,artbox cafe,39
74,2019-09-15,artbox cafe,39
75,2019-09-22,artbox cafe,74
76,2019-09-29,artbox cafe,0
77,2019-10-06,artbox cafe,74
78,2019-10-13,artbox cafe,0
79,2019-10-20,artbox cafe,0
80,2019-10-27,artbox cafe,0
81,2019-11-03,artbox cafe,54
82,2019-11-10,artbox cafe,36
83,2019-11-17,artbox cafe,0
84,2019-11-24,artbox cafe,0
85,2019-12-01,artbox cafe,0
86,2019-12-08,artbox cafe,0
87,2019-12-15,artbox cafe,57
88,2019-12-22,artbox cafe,0
89,2019-12-29,artbox cafe,37
90,2020-01-05,artbox cafe,35
91,2020-01-12,artbox cafe,34
92,2020-01-19,artbox cafe,0
93,2020-01-26,artbox cafe,0
94,2020-02-02,artbox cafe,0
95,2020-02-09,artbox cafe,34
96,2020-02-16,artbox cafe,52
97,2020-02-23,artbox cafe,33
98,2020-03-01,artbox cafe,100
99,2020-03-08,artbox cafe,0
100,2019-03-31,pusheen cafe brighton,0
101,2019-04-07,pusheen cafe brighton,0
102,2019-04-14,pusheen cafe brighton,0
103,2019-04-21,pusheen cafe brighton,0
104,2019-04-28,pusheen cafe brighton,0
105,2019-05-05,pusheen cafe brighton,0
106,2019-05-12,pusheen cafe brighton,0
107,2019-05-19,pusheen cafe brighton,0
108,2019-05-26,pusheen cafe brighton,54
109,2019-06-02,pusheen cafe brighton,0
110,2019-06-09,pusheen cafe brighton,0
111,2019-06-16,pusheen cafe brighton,0
112,2019-06-23,pusheen cafe brighton,0
113,2019-06-30,pusheen cafe brighton,0
114,2019-07-07,pusheen cafe brighton,0
115,2019-07-14,pusheen cafe brighton,0
116,2019-07-21,pusheen cafe brighton,28
117,2019-07-28,pusheen cafe brighton,0
118,2019-08-04,pusheen cafe brighton,0
119,2019-08-11,pusheen cafe brighton,100
120,2019-08-18,pusheen cafe brighton,47
121,2019-08-25,pusheen cafe brighton,56
122,2019-09-01,pusheen cafe brighton,45
123,2019-09-08,pusheen cafe brighton,0
124,2019-09-15,pusheen cafe brighton,40
125,2019-09-22,pusheen cafe brighton,34
126,2019-09-29,pusheen cafe brighton,52
127,2019-10-06,pusheen cafe brighton,26
128,2019-10-13,pusheen cafe brighton,51
129,2019-10-20,pusheen cafe brighton,38
130,2019-10-27,pusheen cafe brighton,60
131,2019-11-03,pusheen cafe brighton,61
132,2019-11-10,pusheen cafe brighton,33
133,2019-11-17,pusheen cafe brighton,33
134,2019-11-24,pusheen cafe brighton,48
135,2019-12-01,pusheen cafe brighton,25
136,2019-12-08,pusheen cafe brighton,25
137,2019-12-15,pusheen cafe brighton,26
138,2019-12-22,pusheen cafe brighton,0
139,2019-12-29,pusheen cafe brighton,65
140,2020-01-05,pusheen cafe brighton,24
141,2020-01-12,pusheen cafe brighton,24
142,2020-01-19,pusheen cafe brighton,49
143,2020-01-26,pusheen cafe brighton,24
144,2020-02-02,pusheen cafe brighton,36
145,2020-02-09,pusheen cafe brighton,47
146,2020-02-16,pusheen cafe brighton,0
147,2020-02-23,pusheen cafe brighton,23
148,2020-03-01,pusheen cafe brighton,0
149,2020-03-08,pusheen cafe brighton,0
150,2019-03-31,pusheen cafe,0
151,2019-04-07,pusheen cafe,0
152,2019-04-14,pusheen cafe,26
153,2019-04-21,pusheen cafe,0
154,2019-04-28,pusheen cafe,0
155,2019-05-05,pusheen cafe,0
156,2019-05-12,pusheen cafe,0
157,2019-05-19,pusheen cafe,0
158,2019-05-26,pusheen cafe,24
159,2019-06-02,pusheen cafe,0
160,2019-06-09,pusheen cafe,0
161,2019-06-16,pusheen cafe,0
162,2019-06-23,pusheen cafe,0
163,2019-06-30,pusheen cafe,0
164,2019-07-07,pusheen cafe,0
165,2019-07-14,pusheen cafe,0
166,2019-07-21,pusheen cafe,0
167,2019-07-28,pusheen cafe,0
168,2019-08-04,pusheen cafe,24
169,2019-08-11,pusheen cafe,60
170,2019-08-18,pusheen cafe,100
171,2019-08-25,pusheen cafe,62
172,2019-09-01,pusheen cafe,0
173,2019-09-08,pusheen cafe,35
174,2019-09-15,pusheen cafe,24
175,2019-09-22,pusheen cafe,23
176,2019-09-29,pusheen cafe,80
177,2019-10-06,pusheen cafe,45
178,2019-10-13,pusheen cafe,34
179,2019-10-20,pusheen cafe,67
180,2019-10-27,pusheen cafe,34
181,2019-11-03,pusheen cafe,43
182,2019-11-10,pusheen cafe,78
183,2019-11-17,pusheen cafe,44
184,2019-11-24,pusheen cafe,21
185,2019-12-01,pusheen cafe,0
186,2019-12-08,pusheen cafe,45
187,2019-12-15,pusheen cafe,46
188,2019-12-22,pusheen cafe,76
189,2019-12-29,pusheen cafe,57
190,2020-01-05,pusheen cafe,22
191,2020-01-12,pusheen cafe,0
192,2020-01-19,pusheen cafe,22
193,2020-01-26,pusheen cafe,42
194,2020-02-02,pusheen cafe,32
195,2020-02-09,pusheen cafe,42
196,2020-02-16,pusheen cafe,31
197,2020-02-23,pusheen cafe,0
198,2020-03-01,pusheen cafe,0
199,2020-03-08,pusheen cafe,0
200,2019-03-31,ladana cafe,61
201,2019-04-07,ladana cafe,30
202,2019-04-14,ladana cafe,32
203,2019-04-21,ladana cafe,61
204,2019-04-28,ladana cafe,58
205,2019-05-05,ladana cafe,60
206,2019-05-12,ladana cafe,0
207,2019-05-19,ladana cafe,61
208,2019-05-26,ladana cafe,30
209,2019-06-02,ladana cafe,0
210,2019-06-09,ladana cafe,29
211,2019-06-16,ladana cafe,45
212,2019-06-23,ladana cafe,30
213,2019-06-30,ladana cafe,30
214,2019-07-07,ladana cafe,69
215,2019-07-14,ladana cafe,30
216,2019-07-21,ladana cafe,46
217,2019-07-28,ladana cafe,60
218,2019-08-04,ladana cafe,44
219,2019-08-11,ladana cafe,44
220,2019-08-18,ladana cafe,30
221,2019-08-25,ladana cafe,60
222,2019-09-01,ladana cafe,28
223,2019-09-08,ladana cafe,100
224,2019-09-15,ladana cafe,38
225,2019-09-22,ladana cafe,0
226,2019-09-29,ladana cafe,28
227,2019-10-06,ladana cafe,28
228,2019-10-13,ladana cafe,27
229,2019-10-20,ladana cafe,46
230,2019-10-27,ladana cafe,55
231,2019-11-03,ladana cafe,26
232,2019-11-10,ladana cafe,27
233,2019-11-17,ladana cafe,35
234,2019-11-24,ladana cafe,64
235,2019-12-01,ladana cafe,44
236,2019-12-08,ladana cafe,36
237,2019-12-15,ladana cafe,57
238,2019-12-22,ladana cafe,51
239,2019-12-29,ladana cafe,55
240,2020-01-05,ladana cafe,26
241,2020-01-12,ladana cafe,42
242,2020-01-19,ladana cafe,39
243,2020-01-26,ladana cafe,26
244,2020-02-02,ladana cafe,44
245,2020-02-09,ladana cafe,64
246,2020-02-16,ladana cafe,51
247,2020-02-23,ladana cafe,50
248,2020-03-01,ladana cafe,25
249,2020-03-08,ladana cafe,42
250,2019-03-31,cafe rouge cheese afternoon tea,0
251,2019-04-07,cafe rouge cheese afternoon tea,71
252,2019-04-14,cafe rouge cheese afternoon tea,100
253,2019-04-21,cafe rouge cheese afternoon tea,0
254,2019-04-28,cafe rouge cheese afternoon tea,0
255,2019-05-05,cafe rouge cheese afternoon tea,70
256,2019-05-12,cafe rouge cheese afternoon tea,0
257,2019-05-19,cafe rouge cheese afternoon tea,47
258,2019-05-26,cafe rouge cheese afternoon tea,62
259,2019-06-02,cafe rouge cheese afternoon tea,45
260,2019-06-09,cafe rouge cheese afternoon tea,45
261,2019-06-16,cafe rouge cheese afternoon tea,63
262,2019-06-23,cafe rouge cheese afternoon tea,0
263,2019-06-30,cafe rouge cheese afternoon tea,0
264,2019-07-07,cafe rouge cheese afternoon tea,47
265,2019-07-14,cafe rouge cheese afternoon tea,70
266,2019-07-21,cafe rouge cheese afternoon tea,48
267,2019-07-28,cafe rouge cheese afternoon tea,0
268,2019-08-04,cafe rouge cheese afternoon tea,46
269,2019-08-11,cafe rouge cheese afternoon tea,92
270,2019-08-18,cafe rouge cheese afternoon tea,48
271,2019-08-25,cafe rouge cheese afternoon tea,94
