,date,variable,value
0,2019-03-31,beer munch food,0
1,2019-04-07,beer munch food,0
2,2019-04-14,beer munch food,0
3,2019-04-21,beer munch food,0
4,2019-04-28,beer munch food,0
5,2019-05-05,beer munch food,0
6,2019-05-12,beer munch food,0
7,2019-05-19,beer munch food,0
8,2019-05-26,beer munch food,0
9,2019-06-02,beer munch food,0
10,2019-06-09,beer munch food,0
11,2019-06-16,beer munch food,0
12,2019-06-23,beer munch food,0
13,2019-06-30,beer munch food,0
14,2019-07-07,beer munch food,0
15,2019-07-14,beer munch food,0
16,2019-07-21,beer munch food,0
17,2019-07-28,beer munch food,0
18,2019-08-04,beer munch food,0
19,2019-08-11,beer munch food,0
20,2019-08-18,beer munch food,0
21,2019-08-25,beer munch food,0
22,2019-09-01,beer munch food,0
23,2019-09-08,beer munch food,0
24,2019-09-15,beer munch food,0
25,2019-09-22,beer munch food,0
26,2019-09-29,beer munch food,0
27,2019-10-06,beer munch food,0
28,2019-10-13,beer munch food,4
29,2019-10-20,beer munch food,100
30,2019-10-27,beer munch food,47
31,2019-11-03,beer munch food,0
32,2019-11-10,beer munch food,3
33,2019-11-17,beer munch food,0
34,2019-11-24,beer munch food,0
35,2019-12-01,beer munch food,0
36,2019-12-08,beer munch food,0
37,2019-12-15,beer munch food,0
38,2019-12-22,beer munch food,0
39,2019-12-29,beer munch food,0
40,2020-01-05,beer munch food,0
41,2020-01-12,beer munch food,0
42,2020-01-19,beer munch food,0
43,2020-01-26,beer munch food,0
44,2020-02-02,beer munch food,0
45,2020-02-09,beer munch food,0
46,2020-02-16,beer munch food,0
47,2020-02-23,beer munch food,0
48,2020-03-01,beer munch food,0
49,2020-03-08,beer munch food,0
50,2019-03-31,beermunch food,0
51,2019-04-07,beermunch food,0
52,2019-04-14,beermunch food,0
53,2019-04-21,beermunch food,0
54,2019-04-28,beermunch food,0
55,2019-05-05,beermunch food,0
56,2019-05-12,beermunch food,0
57,2019-05-19,beermunch food,0
58,2019-05-26,beermunch food,0
59,2019-06-02,beermunch food,0
60,2019-06-09,beermunch food,0
61,2019-06-16,beermunch food,0
62,2019-06-23,beermunch food,0
63,2019-06-30,beermunch food,0
64,2019-07-07,beermunch food,0
65,2019-07-14,beermunch food,0
66,2019-07-21,beermunch food,0
67,2019-07-28,beermunch food,0
68,2019-08-04,beermunch food,0
69,2019-08-11,beermunch food,0
70,2019-08-18,beermunch food,0
71,2019-08-25,beermunch food,0
72,2019-09-01,beermunch food,0
73,2019-09-08,beermunch food,0
74,2019-09-15,beermunch food,0
75,2019-09-22,beermunch food,0
76,2019-09-29,beermunch food,0
77,2019-10-06,beermunch food,13
78,2019-10-13,beermunch food,87
79,2019-10-20,beermunch food,100
80,2019-10-27,beermunch food,0
81,2019-11-03,beermunch food,12
82,2019-11-10,beermunch food,0
83,2019-11-17,beermunch food,0
84,2019-11-24,beermunch food,0
85,2019-12-01,beermunch food,0
86,2019-12-08,beermunch food,12
87,2019-12-15,beermunch food,0
88,2019-12-22,beermunch food,0
89,2019-12-29,beermunch food,0
90,2020-01-05,beermunch food,0
91,2020-01-12,beermunch food,0
92,2020-01-19,beermunch food,0
93,2020-01-26,beermunch food,0
94,2020-02-02,beermunch food,12
95,2020-02-09,beermunch food,0
96,2020-02-16,beermunch food,0
97,2020-02-23,beermunch food,0
98,2020-03-01,beermunch food,28
99,2020-03-08,beermunch food,24
100,2019-03-31,fast food restaurant near me,4
101,2019-04-07,fast food restaurant near me,4
102,2019-04-14,fast food restaurant near me,9
103,2019-04-21,fast food restaurant near me,4
104,2019-04-28,fast food restaurant near me,0
105,2019-05-05,fast food restaurant near me,8
106,2019-05-12,fast food restaurant near me,4
107,2019-05-19,fast food restaurant near me,0
108,2019-05-26,fast food restaurant near me,0
109,2019-06-02,fast food restaurant near me,0
110,2019-06-09,fast food restaurant near me,4
111,2019-06-16,fast food restaurant near me,4
112,2019-06-23,fast food restaurant near me,0
113,2019-06-30,fast food restaurant near me,6
114,2019-07-07,fast food restaurant near me,4
115,2019-07-14,fast food restaurant near me,8
116,2019-07-21,fast food restaurant near me,4
117,2019-07-28,fast food restaurant near me,4
118,2019-08-04,fast food restaurant near me,4
119,2019-08-11,fast food restaurant near me,0
120,2019-08-18,fast food restaurant near me,4
121,2019-08-25,fast food restaurant near me,6
122,2019-09-01,fast food restaurant near me,4
123,2019-09-08,fast food restaurant near me,4
124,2019-09-15,fast food restaurant near me,8
125,2019-09-22,fast food restaurant near me,4
126,2019-09-29,fast food restaurant near me,4
127,2019-10-06,fast food restaurant near me,4
128,2019-10-13,fast food restaurant near me,0
129,2019-10-20,fast food restaurant near me,6
130,2019-10-27,fast food restaurant near me,8
131,2019-11-03,fast food restaurant near me,8
132,2019-11-10,fast food restaurant near me,0
133,2019-11-17,fast food restaurant near me,4
134,2019-11-24,fast food restaurant near me,4
135,2019-12-01,fast food restaurant near me,4
136,2019-12-08,fast food restaurant near me,100
137,2019-12-15,fast food restaurant near me,35
138,2019-12-22,fast food restaurant near me,30
139,2019-12-29,fast food restaurant near me,6
140,2020-01-05,fast food restaurant near me,7
141,2020-01-12,fast food restaurant near me,14
142,2020-01-19,fast food restaurant near me,27
143,2020-01-26,fast food restaurant near me,42
144,2020-02-02,fast food restaurant near me,29
145,2020-02-09,fast food restaurant near me,32
146,2020-02-16,fast food restaurant near me,51
147,2020-02-23,fast food restaurant near me,57
148,2020-03-01,fast food restaurant near me,38
149,2020-03-08,fast food restaurant near me,46
150,2019-03-31,asian food delivery,15
151,2019-04-07,asian food delivery,11
152,2019-04-14,asian food delivery,20
153,2019-04-21,asian food delivery,6
154,2019-04-28,asian food delivery,3
155,2019-05-05,asian food delivery,0
156,2019-05-12,asian food delivery,3
157,2019-05-19,asian food delivery,3
158,2019-05-26,asian food delivery,3
159,2019-06-02,asian food delivery,5
160,2019-06-09,asian food delivery,3
161,2019-06-16,asian food delivery,0
162,2019-06-23,asian food delivery,3
163,2019-06-30,asian food delivery,3
164,2019-07-07,asian food delivery,3
165,2019-07-14,asian food delivery,3
166,2019-07-21,asian food delivery,3
167,2019-07-28,asian food delivery,3
168,2019-08-04,asian food delivery,0
169,2019-08-11,asian food delivery,0
170,2019-08-18,asian food delivery,3
171,2019-08-25,asian food delivery,8
172,2019-09-01,asian food delivery,9
173,2019-09-08,asian food delivery,0
174,2019-09-15,asian food delivery,0
175,2019-09-22,asian food delivery,3
176,2019-09-29,asian food delivery,5
177,2019-10-06,asian food delivery,0
178,2019-10-13,asian food delivery,6
179,2019-10-20,asian food delivery,3
180,2019-10-27,asian food delivery,3
181,2019-11-03,asian food delivery,3
182,2019-11-10,asian food delivery,3
183,2019-11-17,asian food delivery,3
184,2019-11-24,asian food delivery,0
185,2019-12-01,asian food delivery,4
186,2019-12-08,asian food delivery,3
187,2019-12-15,asian food delivery,8
188,2019-12-22,asian food delivery,42
189,2019-12-29,asian food delivery,23
190,2020-01-05,asian food delivery,23
191,2020-01-12,asian food delivery,13
192,2020-01-19,asian food delivery,27
193,2020-01-26,asian food delivery,24
194,2020-02-02,asian food delivery,23
195,2020-02-09,asian food delivery,57
196,2020-02-16,asian food delivery,100
197,2020-02-23,asian food delivery,21
198,2020-03-01,asian food delivery,19
199,2020-03-08,asian food delivery,26
200,2019-03-31,ninja food,0
201,2019-04-07,ninja food,18
202,2019-04-14,ninja food,12
203,2019-04-21,ninja food,24
204,2019-04-28,ninja food,11
205,2019-05-05,ninja food,16
206,2019-05-12,ninja food,12
207,2019-05-19,ninja food,16
208,2019-05-26,ninja food,12
209,2019-06-02,ninja food,11
210,2019-06-09,ninja food,11
211,2019-06-16,ninja food,12
212,2019-06-23,ninja food,12
213,2019-06-30,ninja food,12
214,2019-07-07,ninja food,23
215,2019-07-14,ninja food,15
216,2019-07-21,ninja food,35
217,2019-07-28,ninja food,12
218,2019-08-04,ninja food,12
219,2019-08-11,ninja food,17
220,2019-08-18,ninja food,0
221,2019-08-25,ninja food,0
222,2019-09-01,ninja food,23
223,2019-09-08,ninja food,11
224,2019-09-15,ninja food,11
225,2019-09-22,ninja food,25
226,2019-09-29,ninja food,58
227,2019-10-06,ninja food,50
228,2019-10-13,ninja food,32
229,2019-10-20,ninja food,47
230,2019-10-27,ninja food,36
231,2019-11-03,ninja food,42
232,2019-11-10,ninja food,63
233,2019-11-17,ninja food,38
234,2019-11-24,ninja food,44
235,2019-12-01,ninja food,38
236,2019-12-08,ninja food,64
237,2019-12-15,ninja food,33
238,2019-12-22,ninja food,100
239,2019-12-29,ninja food,65
240,2020-01-05,ninja food,67
241,2020-01-12,ninja food,36
242,2020-01-19,ninja food,27
243,2020-01-26,ninja food,20
244,2020-02-02,ninja food,21
245,2020-02-09,ninja food,45
246,2020-02-16,ninja food,27
247,2020-02-23,ninja food,19
248,2020-03-01,ninja food,19
249,2020-03-08,ninja food,24
250,2019-03-31,fast food restaurant,4
251,2019-04-07,fast food restaurant,7
252,2019-04-14,fast food restaurant,3
253,2019-04-21,fast food restaurant,3
254,2019-04-28,fast food restaurant,1
255,2019-05-05,fast food restaurant,6
256,2019-05-12,fast food restaurant,5
257,2019-05-19,fast food restaurant,4
258,2019-05-26,fast food restaurant,5
259,2019-06-02,fast food restaurant,2
260,2019-06-09,fast food restaurant,5
261,2019-06-16,fast food restaurant,2
262,2019-06-23,fast food restaurant,3
263,2019-06-30,fast food restaurant,3
264,2019-07-07,fast food restaurant,2
265,2019-07-14,fast food restaurant,3
266,2019-07-21,fast food restaurant,3
267,2019-07-28,fast food restaurant,1
268,2019-08-04,fast food restaurant,3
269,2019-08-11,fast food restaurant,5
270,2019-08-18,fast food restaurant,4
271,2019-08-25,fast food restaurant,3
272,2019-09-01,fast food restaurant,5
273,2019-09-08,fast food restaurant,3
274,2019-09-15,fast food restaurant,3
275,2019-09-22,fast food restaurant,3
276,2019-09-29,fast food restaurant,6
277,2019-10-06,fast food restaurant,2
278,2019-10-13,fast food restaurant,4
279,2019-10-20,fast food restaurant,4
280,2019-10-27,fast food restaurant,4
281,2019-11-03,fast food restaurant,6
282,2019-11-10,fast food restaurant,4
283,2019-11-17,fast food restaurant,3
284,2019-11-24,fast food restaurant,2
285,2019-12-01,fast food restaurant,3
286,2019-12-08,fast food restaurant,100
287,2019-12-15,fast food restaurant,59
288,2019-12-22,fast food restaurant,42
289,2019-12-29,fast food restaurant,11
290,2020-01-05,fast food restaurant,15
291,2020-01-12,fast food restaurant,13
292,2020-01-19,fast food restaurant,41
293,2020-01-26,fast food restaurant,36
294,2020-02-02,fast food restaurant,43
295,2020-02-09,fast food restaurant,43
296,2020-02-16,fast food restaurant,66
297,2020-02-23,fast food restaurant,59
298,2020-03-01,fast food restaurant,65
299,2020-03-08,fast food restaurant,60
300,2019-03-31,mexican food delivery,7
301,2019-04-07,mexican food delivery,10
302,2019-04-14,mexican food delivery,14
303,2019-04-21,mexican food delivery,10
304,2019-04-28,mexican food delivery,3
305,2019-05-05,mexican food delivery,0
306,2019-05-12,mexican food delivery,5
307,2019-05-19,mexican food delivery,3
308,2019-05-26,mexican food delivery,0
309,2019-06-02,mexican food delivery,6
310,2019-06-09,mexican food delivery,3
311,2019-06-16,mexican food delivery,3
312,2019-06-23,mexican food delivery,3
313,2019-06-30,mexican food delivery,9
314,2019-07-07,mexican food delivery,0
315,2019-07-14,mexican food delivery,3
316,2019-07-21,mexican food delivery,3
317,2019-07-28,mexican food delivery,0
318,2019-08-04,mexican food delivery,9
319,2019-08-11,mexican food delivery,3
320,2019-08-18,mexican food delivery,5
321,2019-08-25,mexican food delivery,6
322,2019-09-01,mexican food delivery,8
323,2019-09-08,mexican food delivery,6
324,2019-09-15,mexican food delivery,7
325,2019-09-22,mexican food delivery,3
326,2019-09-29,mexican food delivery,3
327,2019-10-06,mexican food delivery,3
328,2019-10-13,mexican food delivery,0
329,2019-10-20,mexican food delivery,6
330,2019-10-27,mexican food delivery,3
331,2019-11-03,mexican food delivery,0
332,2019-11-10,mexican food delivery,3
333,2019-11-17,mexican food delivery,3
334,2019-11-24,mexican food delivery,0
335,2019-12-01,mexican food delivery,3
336,2019-12-08,mexican food delivery,4
337,2019-12-15,mexican food delivery,3
338,2019-12-22,mexican food delivery,32
339,2019-12-29,mexican food delivery,19
340,2020-01-05,mexican food delivery,9
341,2020-01-12,mexican food delivery,22
342,2020-01-19,mexican food delivery,30
343,2020-01-26,mexican food delivery,20
344,2020-02-02,mexican food delivery,23
345,2020-02-09,mexican food delivery,37
346,2020-02-16,mexican food delivery,100
347,2020-02-23,mexican food delivery,25
348,2020-03-01,mexican food delivery,37
349,2020-03-08,mexican food delivery,29
350,2019-03-31,food hub,38
351,2019-04-07,food hub,39
352,2019-04-14,food hub,35
353,2019-04-21,food hub,23
354,2019-04-28,food hub,32
355,2019-05-05,food hub,31
