,date,variable,value
0,2019-03-31,alton towers restaurants,85
1,2019-04-07,alton towers restaurants,45
2,2019-04-14,alton towers restaurants,71
3,2019-04-21,alton towers restaurants,51
4,2019-04-28,alton towers restaurants,66
5,2019-05-05,alton towers restaurants,50
6,2019-05-12,alton towers restaurants,85
7,2019-05-19,alton towers restaurants,34
8,2019-05-26,alton towers restaurants,33
9,2019-06-02,alton towers restaurants,63
10,2019-06-09,alton towers restaurants,54
11,2019-06-16,alton towers restaurants,33
12,2019-06-23,alton towers restaurants,67
13,2019-06-30,alton towers restaurants,50
14,2019-07-07,alton towers restaurants,66
15,2019-07-14,alton towers restaurants,49
16,2019-07-21,alton towers restaurants,67
17,2019-07-28,alton towers restaurants,79
18,2019-08-04,alton towers restaurants,66
19,2019-08-11,alton towers restaurants,65
20,2019-08-18,alton towers restaurants,68
21,2019-08-25,alton towers restaurants,100
22,2019-09-01,alton towers restaurants,43
23,2019-09-08,alton towers restaurants,0
24,2019-09-15,alton towers restaurants,32
25,2019-09-22,alton towers restaurants,41
26,2019-09-29,alton towers restaurants,47
27,2019-10-06,alton towers restaurants,31
28,2019-10-13,alton towers restaurants,31
29,2019-10-20,alton towers restaurants,31
30,2019-10-27,alton towers restaurants,61
31,2019-11-03,alton towers restaurants,59
32,2019-11-10,alton towers restaurants,0
33,2019-11-17,alton towers restaurants,0
34,2019-11-24,alton towers restaurants,0
35,2019-12-01,alton towers restaurants,0
36,2019-12-08,alton towers restaurants,0
37,2019-12-15,alton towers restaurants,0
38,2019-12-22,alton towers restaurants,35
39,2019-12-29,alton towers restaurants,62
40,2020-01-05,alton towers restaurants,28
41,2020-01-12,alton towers restaurants,29
42,2020-01-19,alton towers restaurants,29
43,2020-01-26,alton towers restaurants,29
44,2020-02-02,alton towers restaurants,59
45,2020-02-09,alton towers restaurants,43
46,2020-02-16,alton towers restaurants,0
47,2020-02-23,alton towers restaurants,27
48,2020-03-01,alton towers restaurants,28
49,2020-03-08,alton towers restaurants,0
50,2019-03-31,take out restaurants near me,67
51,2019-04-07,take out restaurants near me,66
52,2019-04-14,take out restaurants near me,35
53,2019-04-21,take out restaurants near me,100
54,2019-04-28,take out restaurants near me,48
55,2019-05-05,take out restaurants near me,49
56,2019-05-12,take out restaurants near me,0
57,2019-05-19,take out restaurants near me,0
58,2019-05-26,take out restaurants near me,0
59,2019-06-02,take out restaurants near me,0
60,2019-06-09,take out restaurants near me,0
61,2019-06-16,take out restaurants near me,33
62,2019-06-23,take out restaurants near me,0
63,2019-06-30,take out restaurants near me,33
64,2019-07-07,take out restaurants near me,32
65,2019-07-14,take out restaurants near me,32
66,2019-07-21,take out restaurants near me,0
67,2019-07-28,take out restaurants near me,33
68,2019-08-04,take out restaurants near me,32
69,2019-08-11,take out restaurants near me,0
70,2019-08-18,take out restaurants near me,33
71,2019-08-25,take out restaurants near me,97
72,2019-09-01,take out restaurants near me,0
73,2019-09-08,take out restaurants near me,0
74,2019-09-15,take out restaurants near me,32
75,2019-09-22,take out restaurants near me,30
76,2019-09-29,take out restaurants near me,30
77,2019-10-06,take out restaurants near me,60
78,2019-10-13,take out restaurants near me,30
79,2019-10-20,take out restaurants near me,30
80,2019-10-27,take out restaurants near me,59
81,2019-11-03,take out restaurants near me,44
82,2019-11-10,take out restaurants near me,87
83,2019-11-17,take out restaurants near me,29
84,2019-11-24,take out restaurants near me,28
85,2019-12-01,take out restaurants near me,0
86,2019-12-08,take out restaurants near me,0
87,2019-12-15,take out restaurants near me,31
88,2019-12-22,take out restaurants near me,34
89,2019-12-29,take out restaurants near me,30
90,2020-01-05,take out restaurants near me,28
91,2020-01-12,take out restaurants near me,46
92,2020-01-19,take out restaurants near me,86
93,2020-01-26,take out restaurants near me,0
94,2020-02-02,take out restaurants near me,0
95,2020-02-09,take out restaurants near me,55
96,2020-02-16,take out restaurants near me,55
97,2020-02-23,take out restaurants near me,41
98,2020-03-01,take out restaurants near me,27
99,2020-03-08,take out restaurants near me,41
100,2019-03-31,michelin star restaurants scotland,58
101,2019-04-07,michelin star restaurants scotland,57
102,2019-04-14,michelin star restaurants scotland,30
103,2019-04-21,michelin star restaurants scotland,29
104,2019-04-28,michelin star restaurants scotland,37
105,2019-05-05,michelin star restaurants scotland,28
106,2019-05-12,michelin star restaurants scotland,29
107,2019-05-19,michelin star restaurants scotland,29
108,2019-05-26,michelin star restaurants scotland,55
109,2019-06-02,michelin star restaurants scotland,27
110,2019-06-09,michelin star restaurants scotland,37
111,2019-06-16,michelin star restaurants scotland,57
112,2019-06-23,michelin star restaurants scotland,28
113,2019-06-30,michelin star restaurants scotland,71
114,2019-07-07,michelin star restaurants scotland,28
115,2019-07-14,michelin star restaurants scotland,42
116,2019-07-21,michelin star restaurants scotland,29
117,2019-07-28,michelin star restaurants scotland,100
118,2019-08-04,michelin star restaurants scotland,42
119,2019-08-11,michelin star restaurants scotland,41
120,2019-08-18,michelin star restaurants scotland,87
121,2019-08-25,michelin star restaurants scotland,57
122,2019-09-01,michelin star restaurants scotland,46
123,2019-09-08,michelin star restaurants scotland,41
124,2019-09-15,michelin star restaurants scotland,55
125,2019-09-22,michelin star restaurants scotland,61
126,2019-09-29,michelin star restaurants scotland,44
127,2019-10-06,michelin star restaurants scotland,91
128,2019-10-13,michelin star restaurants scotland,39
129,2019-10-20,michelin star restaurants scotland,26
130,2019-10-27,michelin star restaurants scotland,26
131,2019-11-03,michelin star restaurants scotland,25
132,2019-11-10,michelin star restaurants scotland,51
133,2019-11-17,michelin star restaurants scotland,33
134,2019-11-24,michelin star restaurants scotland,24
135,2019-12-01,michelin star restaurants scotland,42
136,2019-12-08,michelin star restaurants scotland,26
137,2019-12-15,michelin star restaurants scotland,44
138,2019-12-22,michelin star restaurants scotland,29
139,2019-12-29,michelin star restaurants scotland,35
140,2020-01-05,michelin star restaurants scotland,49
141,2020-01-12,michelin star restaurants scotland,48
142,2020-01-19,michelin star restaurants scotland,62
143,2020-01-26,michelin star restaurants scotland,49
144,2020-02-02,michelin star restaurants scotland,25
145,2020-02-09,michelin star restaurants scotland,40
146,2020-02-16,michelin star restaurants scotland,48
147,2020-02-23,michelin star restaurants scotland,35
148,2020-03-01,michelin star restaurants scotland,35
149,2020-03-08,michelin star restaurants scotland,46
150,2019-03-31,restaurants in westfield,40
151,2019-04-07,restaurants in westfield,95
152,2019-04-14,restaurants in westfield,100
153,2019-04-21,restaurants in westfield,64
154,2019-04-28,restaurants in westfield,31
155,2019-05-05,restaurants in westfield,39
156,2019-05-12,restaurants in westfield,48
157,2019-05-19,restaurants in westfield,48
158,2019-05-26,restaurants in westfield,39
159,2019-06-02,restaurants in westfield,45
160,2019-06-09,restaurants in westfield,61
161,2019-06-16,restaurants in westfield,39
162,2019-06-23,restaurants in westfield,35
163,2019-06-30,restaurants in westfield,63
164,2019-07-07,restaurants in westfield,35
165,2019-07-14,restaurants in westfield,39
166,2019-07-21,restaurants in westfield,24
167,2019-07-28,restaurants in westfield,56
168,2019-08-04,restaurants in westfield,47
169,2019-08-11,restaurants in westfield,69
170,2019-08-18,restaurants in westfield,72
171,2019-08-25,restaurants in westfield,63
172,2019-09-01,restaurants in westfield,30
173,2019-09-08,restaurants in westfield,45
174,2019-09-15,restaurants in westfield,61
175,2019-09-22,restaurants in westfield,58
176,2019-09-29,restaurants in westfield,44
177,2019-10-06,restaurants in westfield,43
178,2019-10-13,restaurants in westfield,43
179,2019-10-20,restaurants in westfield,80
180,2019-10-27,restaurants in westfield,72
181,2019-11-03,restaurants in westfield,64
182,2019-11-10,restaurants in westfield,35
183,2019-11-17,restaurants in westfield,56
184,2019-11-24,restaurants in westfield,30
185,2019-12-01,restaurants in westfield,21
186,2019-12-08,restaurants in westfield,32
187,2019-12-15,restaurants in westfield,55
188,2019-12-22,restaurants in westfield,40
189,2019-12-29,restaurants in westfield,44
190,2020-01-05,restaurants in westfield,34
191,2020-01-12,restaurants in westfield,40
192,2020-01-19,restaurants in westfield,62
193,2020-01-26,restaurants in westfield,41
194,2020-02-02,restaurants in westfield,62
195,2020-02-09,restaurants in westfield,60
196,2020-02-16,restaurants in westfield,30
197,2020-02-23,restaurants in westfield,79
198,2020-03-01,restaurants in westfield,79
199,2020-03-08,restaurants in westfield,0
200,2019-03-31,palm beach restaurants,28
201,2019-04-07,palm beach restaurants,28
202,2019-04-14,palm beach restaurants,29
203,2019-04-21,palm beach restaurants,0
204,2019-04-28,palm beach restaurants,40
205,2019-05-05,palm beach restaurants,0
206,2019-05-12,palm beach restaurants,0
207,2019-05-19,palm beach restaurants,28
208,2019-05-26,palm beach restaurants,27
