,date,variable,value
0,2019-03-31,greggs vegan steak bake,0
1,2019-04-07,greggs vegan steak bake,0
2,2019-04-14,greggs vegan steak bake,2
3,2019-04-21,greggs vegan steak bake,0
4,2019-04-28,greggs vegan steak bake,1
5,2019-05-05,greggs vegan steak bake,1
6,2019-05-12,greggs vegan steak bake,0
7,2019-05-19,greggs vegan steak bake,0
8,2019-05-26,greggs vegan steak bake,0
9,2019-06-02,greggs vegan steak bake,0
10,2019-06-09,greggs vegan steak bake,1
11,2019-06-16,greggs vegan steak bake,1
12,2019-06-23,greggs vegan steak bake,0
13,2019-06-30,greggs vegan steak bake,0
14,2019-07-07,greggs vegan steak bake,0
15,2019-07-14,greggs vegan steak bake,0
16,2019-07-21,greggs vegan steak bake,0
17,2019-07-28,greggs vegan steak bake,0
18,2019-08-04,greggs vegan steak bake,0
19,2019-08-11,greggs vegan steak bake,0
20,2019-08-18,greggs vegan steak bake,0
21,2019-08-25,greggs vegan steak bake,0
22,2019-09-01,greggs vegan steak bake,1
23,2019-09-08,greggs vegan steak bake,0
24,2019-09-15,greggs vegan steak bake,0
25,2019-09-22,greggs vegan steak bake,0
26,2019-09-29,greggs vegan steak bake,0
27,2019-10-06,greggs vegan steak bake,0
28,2019-10-13,greggs vegan steak bake,0
29,2019-10-20,greggs vegan steak bake,0
30,2019-10-27,greggs vegan steak bake,0
31,2019-11-03,greggs vegan steak bake,0
32,2019-11-10,greggs vegan steak bake,4
33,2019-11-17,greggs vegan steak bake,2
34,2019-11-24,greggs vegan steak bake,0
35,2019-12-01,greggs vegan steak bake,1
36,2019-12-08,greggs vegan steak bake,1
37,2019-12-15,greggs vegan steak bake,1
38,2019-12-22,greggs vegan steak bake,7
39,2019-12-29,greggs vegan steak bake,100
40,2020-01-05,greggs vegan steak bake,59
41,2020-01-12,greggs vegan steak bake,21
42,2020-01-19,greggs vegan steak bake,18
43,2020-01-26,greggs vegan steak bake,8
44,2020-02-02,greggs vegan steak bake,8
45,2020-02-09,greggs vegan steak bake,5
46,2020-02-16,greggs vegan steak bake,4
47,2020-02-23,greggs vegan steak bake,6
48,2020-03-01,greggs vegan steak bake,5
49,2020-03-08,greggs vegan steak bake,6
50,2019-03-31,vegan kfc burger,1
51,2019-04-07,vegan kfc burger,1
52,2019-04-14,vegan kfc burger,0
53,2019-04-21,vegan kfc burger,1
54,2019-04-28,vegan kfc burger,1
55,2019-05-05,vegan kfc burger,1
56,2019-05-12,vegan kfc burger,1
57,2019-05-19,vegan kfc burger,0
58,2019-05-26,vegan kfc burger,1
59,2019-06-02,vegan kfc burger,0
60,2019-06-09,vegan kfc burger,10
61,2019-06-16,vegan kfc burger,27
62,2019-06-23,vegan kfc burger,9
63,2019-06-30,vegan kfc burger,6
64,2019-07-07,vegan kfc burger,7
65,2019-07-14,vegan kfc burger,4
66,2019-07-21,vegan kfc burger,4
67,2019-07-28,vegan kfc burger,4
68,2019-08-04,vegan kfc burger,3
69,2019-08-11,vegan kfc burger,3
70,2019-08-18,vegan kfc burger,4
71,2019-08-25,vegan kfc burger,5
72,2019-09-01,vegan kfc burger,2
73,2019-09-08,vegan kfc burger,2
74,2019-09-15,vegan kfc burger,2
75,2019-09-22,vegan kfc burger,2
76,2019-09-29,vegan kfc burger,2
77,2019-10-06,vegan kfc burger,1
78,2019-10-13,vegan kfc burger,1
79,2019-10-20,vegan kfc burger,1
80,2019-10-27,vegan kfc burger,1
81,2019-11-03,vegan kfc burger,1
82,2019-11-10,vegan kfc burger,1
83,2019-11-17,vegan kfc burger,2
84,2019-11-24,vegan kfc burger,1
85,2019-12-01,vegan kfc burger,1
86,2019-12-08,vegan kfc burger,1
87,2019-12-15,vegan kfc burger,1
88,2019-12-22,vegan kfc burger,3
89,2019-12-29,vegan kfc burger,100
90,2020-01-05,vegan kfc burger,79
91,2020-01-12,vegan kfc burger,35
92,2020-01-19,vegan kfc burger,35
93,2020-01-26,vegan kfc burger,37
94,2020-02-02,vegan kfc burger,18
95,2020-02-09,vegan kfc burger,14
96,2020-02-16,vegan kfc burger,10
97,2020-02-23,vegan kfc burger,8
98,2020-03-01,vegan kfc burger,7
99,2020-03-08,vegan kfc burger,6
100,2019-03-31,vegan steak bake,0
101,2019-04-07,vegan steak bake,0
102,2019-04-14,vegan steak bake,1
103,2019-04-21,vegan steak bake,0
104,2019-04-28,vegan steak bake,0
105,2019-05-05,vegan steak bake,0
106,2019-05-12,vegan steak bake,0
107,2019-05-19,vegan steak bake,0
108,2019-05-26,vegan steak bake,0
109,2019-06-02,vegan steak bake,0
110,2019-06-09,vegan steak bake,0
111,2019-06-16,vegan steak bake,0
112,2019-06-23,vegan steak bake,0
113,2019-06-30,vegan steak bake,0
114,2019-07-07,vegan steak bake,0
115,2019-07-14,vegan steak bake,0
116,2019-07-21,vegan steak bake,0
117,2019-07-28,vegan steak bake,0
118,2019-08-04,vegan steak bake,0
119,2019-08-11,vegan steak bake,1
120,2019-08-18,vegan steak bake,1
121,2019-08-25,vegan steak bake,1
122,2019-09-01,vegan steak bake,1
123,2019-09-08,vegan steak bake,0
124,2019-09-15,vegan steak bake,0
125,2019-09-22,vegan steak bake,1
126,2019-09-29,vegan steak bake,0
127,2019-10-06,vegan steak bake,0
128,2019-10-13,vegan steak bake,0
129,2019-10-20,vegan steak bake,0
130,2019-10-27,vegan steak bake,0
131,2019-11-03,vegan steak bake,1
132,2019-11-10,vegan steak bake,2
133,2019-11-17,vegan steak bake,1
134,2019-11-24,vegan steak bake,1
135,2019-12-01,vegan steak bake,1
136,2019-12-08,vegan steak bake,1
137,2019-12-15,vegan steak bake,1
138,2019-12-22,vegan steak bake,7
139,2019-12-29,vegan steak bake,100
140,2020-01-05,vegan steak bake,69
141,2020-01-12,vegan steak bake,25
142,2020-01-19,vegan steak bake,18
143,2020-01-26,vegan steak bake,7
144,2020-02-02,vegan steak bake,9
145,2020-02-09,vegan steak bake,7
146,2020-02-16,vegan steak bake,4
147,2020-02-23,vegan steak bake,4
148,2020-03-01,vegan steak bake,4
149,2020-03-08,vegan steak bake,3
150,2019-03-31,galaxy vegan chocolate,0
151,2019-04-07,galaxy vegan chocolate,0
152,2019-04-14,galaxy vegan chocolate,0
153,2019-04-21,galaxy vegan chocolate,7
154,2019-04-28,galaxy vegan chocolate,7
155,2019-05-05,galaxy vegan chocolate,0
156,2019-05-12,galaxy vegan chocolate,0
157,2019-05-19,galaxy vegan chocolate,0
158,2019-05-26,galaxy vegan chocolate,7
159,2019-06-02,galaxy vegan chocolate,0
160,2019-06-09,galaxy vegan chocolate,0
161,2019-06-16,galaxy vegan chocolate,0
162,2019-06-23,galaxy vegan chocolate,0
163,2019-06-30,galaxy vegan chocolate,7
164,2019-07-07,galaxy vegan chocolate,0
165,2019-07-14,galaxy vegan chocolate,7
166,2019-07-21,galaxy vegan chocolate,0
167,2019-07-28,galaxy vegan chocolate,0
168,2019-08-04,galaxy vegan chocolate,0
169,2019-08-11,galaxy vegan chocolate,0
170,2019-08-18,galaxy vegan chocolate,0
171,2019-08-25,galaxy vegan chocolate,0
172,2019-09-01,galaxy vegan chocolate,0
173,2019-09-08,galaxy vegan chocolate,0
174,2019-09-15,galaxy vegan chocolate,7
175,2019-09-22,galaxy vegan chocolate,6
176,2019-09-29,galaxy vegan chocolate,6
177,2019-10-06,galaxy vegan chocolate,0
178,2019-10-13,galaxy vegan chocolate,0
179,2019-10-20,galaxy vegan chocolate,6
180,2019-10-27,galaxy vegan chocolate,6
181,2019-11-03,galaxy vegan chocolate,0
182,2019-11-10,galaxy vegan chocolate,74
183,2019-11-17,galaxy vegan chocolate,100
184,2019-11-24,galaxy vegan chocolate,62
185,2019-12-01,galaxy vegan chocolate,48
186,2019-12-08,galaxy vegan chocolate,53
187,2019-12-15,galaxy vegan chocolate,31
188,2019-12-22,galaxy vegan chocolate,22
189,2019-12-29,galaxy vegan chocolate,22
190,2020-01-05,galaxy vegan chocolate,22
191,2020-01-12,galaxy vegan chocolate,36
192,2020-01-19,galaxy vegan chocolate,33
193,2020-01-26,galaxy vegan chocolate,16
194,2020-02-02,galaxy vegan chocolate,18
195,2020-02-09,galaxy vegan chocolate,10
196,2020-02-16,galaxy vegan chocolate,22
197,2020-02-23,galaxy vegan chocolate,8
198,2020-03-01,galaxy vegan chocolate,25
199,2020-03-08,galaxy vegan chocolate,18
