,query,value
0,hotels in sandbanks,180
1,hotels in exeter,130
2,hotels near manchester arena,120
3,hotels in maidstone,120
4,eastbourne hotels,100
5,hotels in portsmouth,100
6,hotels near manchester airport,90
7,day use hotels,90
8,oban hotels,80
9,preston hotels,80
10,hotels in stratford upon avon,80
11,cambridge hotels,70
12,hotels in bournemouth,70
13,hotels in swindon,70
14,hotels in cheltenham,70
15,vienna hotels,50
16,hotels bournemouth,50
17,hotels near euston station,50
18,stansted airport hotels,40
19,portsmouth hotels,40
20,melia hotels,40
