,date,variable,value
0,2020-02-09,hotels in sandbanks,51
1,2020-02-10,hotels in sandbanks,50
2,2020-02-11,hotels in sandbanks,0
3,2020-02-12,hotels in sandbanks,0
4,2020-02-13,hotels in sandbanks,0
5,2020-02-14,hotels in sandbanks,53
6,2020-02-15,hotels in sandbanks,50
7,2020-02-16,hotels in sandbanks,0
8,2020-02-17,hotels in sandbanks,50
9,2020-02-18,hotels in sandbanks,49
10,2020-02-19,hotels in sandbanks,100
11,2020-02-20,hotels in sandbanks,99
12,2020-02-21,hotels in sandbanks,51
13,2020-02-22,hotels in sandbanks,53
14,2020-02-23,hotels in sandbanks,0
15,2020-02-24,hotels in sandbanks,48
16,2020-02-25,hotels in sandbanks,0
17,2020-02-26,hotels in sandbanks,98
18,2020-02-27,hotels in sandbanks,0
19,2020-02-28,hotels in sandbanks,50
20,2020-02-29,hotels in sandbanks,52
21,2020-03-01,hotels in sandbanks,52
22,2020-03-02,hotels in sandbanks,0
23,2020-03-03,hotels in sandbanks,0
24,2020-03-04,hotels in sandbanks,65
25,2020-03-05,hotels in sandbanks,49
26,2020-03-06,hotels in sandbanks,0
27,2020-03-07,hotels in sandbanks,0
28,2020-02-09,hotels in exeter,50
29,2020-02-10,hotels in exeter,0
30,2020-02-11,hotels in exeter,33
31,2020-02-12,hotels in exeter,34
32,2020-02-13,hotels in exeter,0
33,2020-02-14,hotels in exeter,35
34,2020-02-15,hotels in exeter,66
35,2020-02-16,hotels in exeter,51
36,2020-02-17,hotels in exeter,33
37,2020-02-18,hotels in exeter,48
38,2020-02-19,hotels in exeter,33
39,2020-02-20,hotels in exeter,0
40,2020-02-21,hotels in exeter,34
41,2020-02-22,hotels in exeter,35
42,2020-02-23,hotels in exeter,0
43,2020-02-24,hotels in exeter,32
44,2020-02-25,hotels in exeter,32
45,2020-02-26,hotels in exeter,0
46,2020-02-27,hotels in exeter,0
47,2020-02-28,hotels in exeter,0
48,2020-02-29,hotels in exeter,0
49,2020-03-01,hotels in exeter,0
50,2020-03-02,hotels in exeter,0
51,2020-03-03,hotels in exeter,63
52,2020-03-04,hotels in exeter,32
53,2020-03-05,hotels in exeter,64
54,2020-03-06,hotels in exeter,100
55,2020-03-07,hotels in exeter,0
56,2020-02-09,hotels near manchester arena,55
57,2020-02-10,hotels near manchester arena,32
58,2020-02-11,hotels near manchester arena,0
59,2020-02-12,hotels near manchester arena,0
60,2020-02-13,hotels near manchester arena,100
61,2020-02-14,hotels near manchester arena,34
62,2020-02-15,hotels near manchester arena,33
63,2020-02-16,hotels near manchester arena,34
64,2020-02-17,hotels near manchester arena,48
65,2020-02-18,hotels near manchester arena,48
66,2020-02-19,hotels near manchester arena,32
67,2020-02-20,hotels near manchester arena,48
68,2020-02-21,hotels near manchester arena,34
69,2020-02-22,hotels near manchester arena,57
70,2020-02-23,hotels near manchester arena,34
71,2020-02-24,hotels near manchester arena,63
72,2020-02-25,hotels near manchester arena,47
73,2020-02-26,hotels near manchester arena,32
74,2020-02-27,hotels near manchester arena,48
75,2020-02-28,hotels near manchester arena,97
76,2020-02-29,hotels near manchester arena,34
77,2020-03-01,hotels near manchester arena,0
78,2020-03-02,hotels near manchester arena,73
79,2020-03-03,hotels near manchester arena,32
80,2020-03-04,hotels near manchester arena,47
81,2020-03-05,hotels near manchester arena,32
82,2020-03-06,hotels near manchester arena,50
83,2020-03-07,hotels near manchester arena,34
84,2020-02-09,hotels in maidstone,0
85,2020-02-10,hotels in maidstone,95
86,2020-02-11,hotels in maidstone,96
87,2020-02-12,hotels in maidstone,0
88,2020-02-13,hotels in maidstone,0
89,2020-02-14,hotels in maidstone,100
90,2020-02-15,hotels in maidstone,0
91,2020-02-16,hotels in maidstone,0
92,2020-02-17,hotels in maidstone,0
93,2020-02-18,hotels in maidstone,0
94,2020-02-19,hotels in maidstone,96
95,2020-02-20,hotels in maidstone,96
96,2020-02-21,hotels in maidstone,0
97,2020-02-22,hotels in maidstone,0
98,2020-02-23,hotels in maidstone,0
99,2020-02-24,hotels in maidstone,0
100,2020-02-25,hotels in maidstone,93
101,2020-02-26,hotels in maidstone,0
102,2020-02-27,hotels in maidstone,94
103,2020-02-28,hotels in maidstone,0
104,2020-02-29,hotels in maidstone,99
105,2020-03-01,hotels in maidstone,0
